real,forecast
30.53100014,7.931258372337541
27.78700066,8.544804328038055
27.78700066,9.724202998633817
25.04400063,8.09042017375233
21.94799995,14.872709149342928
21.17399979,8.14752760748912
22.79199982,7.905752222977038
23.1439991,7.3816160597141565
21.66699982,14.685229381102392
17.44599915,11.385905876293853
19.97900009,11.385988359531499
20.11899948,11.372923704176458
19.20499992,14.646664452707089
18.5720005,9.855350182854636
19.55599976,11.524496754292786
17.30500031,12.162069043422733
19.48600006,14.58597767723181
19.13400078,10.533471718424751
20.68199921,12.838516516828625
18.71199989,13.668311818991466
17.86800003,15.497137903379604
18.00900078,11.18638078307602
18.00900078,10.944020178166685
19.76799965,10.480742256609803
21.10400009,15.907332998929206
19.6970005,10.366778970141258
20.04899979,10.199935447523822
20.75200081,9.941881729279658
21.38500023,17.890948683602932
22.22999954,10.4140445980338
20.26000023,10.053488103542174
21.10400009,9.28749427946727
20.61199951,17.819750861845307
18.36100006,10.997081626360092
20.96299934,10.24015868473688
19.41600037,9.057115452021936
20.82299995,13.13123587397497
20.19000053,12.267594126686689
21.31500053,11.756647378889735
22.0189991,14.239139025969932
20.68199921,14.32457851973828
25.4659996,13.326881780531586
25.88800049,13.034248283913437
27.85700035,12.202553331554544
27.29500008,15.406600875050607
22.22999954,14.056446840390834
21.94799995,13.695664436333802
27.29500008,13.073260610474401
29.33499908,15.855598145917135
26.02799988,13.420501638232164
24.34000015,13.115394647924045
26.45000076,12.789925780403825
25.95800018,16.190161080340545
24.05900002,13.27991939209599
25.32500076,12.928649087272639
23.63699913,12.00952923710472
26.37999916,16.652191034540316
27.36499977,14.398726531425847
28.06800079,13.687281755993313
29.47500038,11.989801111216037
26.80200005,17.60584584972896
29.96800041,15.380516822447387
30.38999939,14.695492653403722
31.16399956,12.861724042003887
29.75699997,18.980109231527546
32.28900146,16.934997077175296
31.93799973,16.159488893286714
28.56100082,14.332928295000581
21.52599907,19.234967488469536
22.22999954,17.997620169039696
19.41600037,17.30442891469532
18.5720005,16.828259064374084
21.66699982,18.856048466951563
25.5359993,15.254242757348093
27.85700035,14.952166995884062
27.9279995,15.98845266470094
24.62100029,20.40860323318142
23.84799957,16.3414880057444
23.0739994,15.871711716532047
22.51099968,16.043326239196535
21.66699982,19.946801527985713
25.39500046,16.982584690965854
25.18400002,16.50401599458895
29.54599953,16.390554900776202
29.47500038,20.86027829217392
29.26399994,18.079726967624797
30.95299911,17.540262642414056
31.72599983,18.156090616134662
33.13299942,22.235692389244626
28.9829998,19.163906232701407
28.9829998,18.535719614545364
31.72599983,19.225300889993065
25.18400002,22.375117453544952
30.53100014,20.354802705611615
27.64599991,19.526617788566742
25.4659996,19.432438715229637
25.95800018,22.18269845244212
25.95800018,19.068200256248932
26.02799988,18.687126868236685
28.91300011,20.294939365318843
30.45999908,22.878162833878108
31.375,19.93728671466379
32.7820015,19.513815296077702
31.72599983,20.90686734805915
30.31999969,24.002815225512094
30.45999908,20.938448608263514
32.92200089,20.47922593008547
31.09300041,21.675944113645762
25.67700005,24.490775348515314
